﻿Team,City,State/Province,Revenue
New York Rangers,New York City,NY,253000000
Toronto Maple Leafs,Toronto,ON,232000000
Montreal Canadiens,Montreal,QC,239000000
Chicago Blackhawks,Chicago,IL,201000000
Boston Bruins,Boston,MA,191000000
Los Angeles Kings,Los Angeles,CA,193000000
Philadelphia Flyers,Philadelphia,PA,186000000
Detroit Red Wings,Detroit,MI,171000000
Vancouver Canucks,Vancouver,BC,168000000
Washington Capitals,Washington,DC,194000000
Pittsburgh Penguins,Pittsburgh,PA,185000000
Vegas Golden Knights,Las Vegas,NV,180000000
Edmonton Oilers,Edmonton,AB,145000000
Dallas Stars,Dallas,TX,144000000
San Jose Sharks,San Jose,CA,148000000
Minnesota Wild,Saint Paul,MN,142000000
St Louis Blues,Saint Louis,MO,148000000
Anaheim Ducks,Anaheim,CA,134000000
New Jersey Devils,Newark,NJ,166000000
Calgary Flames,Calgary,AB,132000000
Tampa Bay Lightning,Tampa Bay,FL,146000000
New York Islanders,Uniondale,NY,107000000
Ottawa Senators,Ottowa,ON,124000000
Colorado Avalanche,Denver,CO,119000000
Nashville Predators,Nashville,TN,132000000
Carolina Hurricanes,Raleigh,NC,109000000
Winnipeg Jets,Winnipeg,MB,135000000
Buffalo Sabres,Buffalo,NY,128000000
Columbus Blue Jackets,Columbus,OH,111000000
Florida Panthers,Miami,FL,99000000
Arizona Coyotes,Glendale,AZ,96000000
