City,MLB,NBA,NFL,NHL,MLS,5 Major Sports Championships,lat,lng
New York,35,4,9,8,5,61,40.6943,-73.9249
Boston,10,17,6,7,0,40,42.3188,-71.0846
Chicago,6,6,11,6,3,32,41.8373,-87.6862
Los Angeles,7,12,2,3,7,31,34.1139,-118.4068
Montreal,0,0,0,26,0,26,46.4312,-90.2382
Detroit,4,3,4,11,0,22,42.3834,-83.1024
San Francisco ,7,5,7,0,3,22,37.7562,-122.443
Philadelphia,7,4,5,2,1,19,40.0077,-75.1339
Toronto,2,1,0,13,2,18,40.4581,-80.6096
Pittsburgh,5,1,6,5,0,17,40.4396,-79.9762
St. Louis,11,1,1,1,0,14,38.6358,-90.2451
Washington,2,1,5,1,4,13,38.9047,-77.0163
Green Bay,0,0,13,0,0,13,44.515,-87.9896
Cleveland,2,1,10,0,0,13,41.4767,-81.6804
Baltimore,3,1,5,0,0,9,39.3051,-76.6144
Dallas,0,1,6,1,1,9,32.7936,-96.7662
Houston,1,2,2,2,2,9,29.7863,-95.3889
Minneapolis,2,5,0,0,0,7,44.9635,-93.2678
Kansas City,2,0,2,0,3,7,39.1239,-94.5541
Miami,2,3,2,0,0,7,25.7839,-80.2102
Denver,0,0,3,2,1,6,39.7621,-104.8759
Tampa Bay,0,0,2,2,2,6,27.9942,-82.4451
San Antonio,0,5,0,0,0,5,29.4658,-98.5253
Edmonton,0,0,0,5,0,5,36.9854,-85.6193
Cincinnati,5,0,0,0,0,5,39.1413,-84.5061
Seattle,0,1,1,1,2,5,47.6211,-122.3244
Indianapolis,0,3,1,0,0,4,39.7771,-86.1458
Ottawa,0,0,0,4,0,4,41.3532,-88.8306
Atlanta,1,0,0,0,2,3,33.7627,-84.4224
Newark,0,0,0,3,0,3,40.7245,-74.1725
Winnipeg,0,0,0,3,0,3,49.8951,-97.1384
Canton,0,0,2,0,0,2,40.8075,-81.3677
Columbus,0,0,0,0,2,2,39.9862,-82.985
Milwaukee,1,1,0,0,0,2,43.0642,-87.9673
Portland,0,1,0,0,1,2,45.5372,-122.65
Rochester,0,1,0,0,1,2,43.168,-77.6162
Salt Lake City,0,1,0,0,1,2,40.7777,-111.9306
Buffalo,0,0,2,0,0,2,42.9016,-78.8487
Vancouver,0,0,0,1,1,2,45.6366,-122.5967
Akron,0,0,1,0,0,1,41.0798,-81.5219
New Orleans,0,0,1,0,0,1,30.0687,-89.9288
Phoenix,1,0,0,0,0,1,33.5722,-112.0891
Providence,0,0,1,0,0,1,41.823,-71.4187
Raleigh,0,0,0,1,0,1,35.8325,-78.6435
Syracuse,0,1,0,0,0,1,43.0409,-76.1438
Tulsa,0,0,0,0,1,1,36.1284,-95.9042
San Diego,0,0,1,0,0,1,32.8312,-117.1225
Louisville,0,1,0,0,0,1,38.1663,-85.6485
Victoria,0,0,0,1,0,1,28.8285,-96.985
Calgary,0,0,0,1,0,1,51.0447,-114.0719
Quebec City,0,0,0,1,0,1,46.8139,-71.208
